Movie,Rating,Genre,Director,Actor1,Actor2,Budget,Revenue_US,Revenue_World,Date
11:14,7.2,Crime,Greg Marcks,Henry Thomas,Colin Hanks,6000000,0,0,12-Aug-05
9,7.1,Animation,Shane Acker,Elijah Wood,Jennifer Connelly,30000000,31749894,48559999,9-Sep-09
21,6.8,Crime,Robert Luketic,Jim Sturgess,Kate Bosworth,35000000,81159365,159846429,28-Mar-08
31,5.1,Horror,Rob Zombie,Malcolm McDowell,Richard Brake,1500000,779820,922727,21-Oct-16
42,7.5,Biography,Brian Helgeland,Chadwick Boseman,T.R. Knight,31000000,95020213,97470701,12-Apr-13
300,7.7,Action,Zack Snyder,Gerard Butler,Lena Headey,60000000,210614939,454161935,9-Mar-07
1408,6.8,Fantasy,Mikael Hafstrom,John Cusack,Samuel L. Jackson,22500000,71985628,131263370,22-Jun-07
2012,5.8,Action,Roland Emmerich,John Cusack,Thandie Newton,200000000,166112167,757677748,13-Nov-09
2046,7.5,Drama,Kar-Wai Wong,Tony Chiu-Wai Leung,Ziyi Zhang,12000000,1442338,19287485,5-Aug-05
(500) Days of Summer,7.7,Comedy,Marc Webb,Zooey Deschanel,Joseph Gordon-Levitt,7500000,32425665,34439060,17-Jul-09
[Rec],7.4,Horror,Paco Plaza,Jaume Balaguera,Ferran Terraza,2100000,0,23266821,14-Jul-09
10 Cloverfield Lane,7.2,Drama,Dan Trachtenberg,John Goodman,Mary Elizabeth Winstead,5000000,72082999,108286422,11-Mar-16
102 Dalmatians,4.9,Adventure,Kevin Lima,Glenn Close,Gerard Depardieu,85000000,66941559,66941559,22-Nov-00
12 Rounds,5.6,Action,Renny Harlin,John Cena,Ashley Scott,20000000,12234694,17306648,27-Mar-09
12 Strong,6.6,Action,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,35000000,45819713,71118378,19-Jan-18
12 Years a Slave,8.1,Biography,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,20000000,56671993,181025343,18-Oct-13
127 Hours,7.6,Biography,Danny Boyle,James Franco,Amber Tamblyn,18000000,18335230,60217171,5-Nov-10
13 Going on 30,6.1,Comedy,Gary Winick,Jennifer Garner,Mark Ruffalo,37000000,57139723,97658712,23-Apr-04
13 Sins,6.3,Horror,Daniel Stamm,Mark Webber,Devon Graye,4000000,9134,47552,18-Apr-14
15 Minutes,6.1,Action,John Herzfeld,Robert De Niro,Edward Burns,42000000,24375436,56331864,9-Mar-01
16 Blocks,6.6,Action,Richard Donner,Bruce Willis,Yasiin Bey,45000000,36895141,65595141,3-Mar-06
17 Again,6.4,Comedy,Burr Steers,Zac Efron,Matthew Perry,40000000,64167069,139474906,17-Apr-09
2 Fast 2 Furious,5.9,Action,John Singleton,Paul Walker,Tyrese Gibson,76000000,127120058,236410607,6-Jun-03
2 Guns,6.7,Action,Baltasar Kormakur,Denzel Washington,Mark Wahlberg,61000000,75612460,132493015,2-Aug-13
21 Grams,7.7,Crime,Alejandro G. Inarritu,Sean Penn,Benicio Del Toro,20000000,16248701,59667625,21-Nov-03
21 Jump Street,7.2,Action,Christopher Miller,Phil Lord,Channing Tatum,42000000,138447667,202812429,16-Mar-12
22 Jump Street,7,Action,Christopher Miller,Phil Lord,Jonah Hill,50000000,191719337,331333876,13-Jun-14
25th Hour,7.6,Drama,Spike Lee,Edward Norton,Barry Pepper,4500000,13084595,25344490,19-Dec-02
27 Dresses,6.1,Comedy,Anne Fletcher,Katherine Heigl,James Marsden,30000000,76808654,160247805,18-Jan-08
28 Days,6,Comedy,Betty Thomas,Sandra Bullock,Viggo Mortensen,43000000,37035515,62063972,14-Apr-00
28 Weeks Later,7,Drama,Juan Carlos Fresnadillo,Jeremy Renner,Rose Byrne,15000000,28638916,64232714,11-May-07
3 Days to Kill,6.2,Action,McG,Kevin Costner,Hailee Steinfeld,28000000,30697999,38959900,21-Feb-14
3:10 to Yuma,7.7,Action,James Mangold,Russell Crowe,Christian Bale,48000000,53606916,71171825,7-Sep-07
30 Days of Night,6.6,Action,David Slade,Josh Hartnett,Melissa George,30000000,39568996,80276156,19-Oct-07
30 Minutes or Less,6.1,Action,Ruben Fleischer,Jesse Eisenberg,Danny McBride,28000000,37053924,40966716,12-Aug-11
300: Rise of an Empire,6.2,Action,Noam Murro,Sullivan Stapleton,Eva Green,110000000,106580051,330780051,7-Mar-14
3000 Miles to Graceland,6,Action,Demian Lichtenstein,Kurt Russell,Kevin Costner,62000000,15738632,18708848,23-Feb-01
40 Days and 40 Nights,5.6,Comedy,Michael Lehmann,Josh Hartnett,Shannyn Sossamon,17000000,37939782,95092667,1-Mar-02
47 Ronin,6.3,Action,Carl Rinsch,Keanu Reeves,Hiroyuki Sanada,175000000,38362475,151716815,25-Dec-13
5 Days of War,5.6,Action,Renny Harlin,Rupert Friend,Emmanuelle Chriqui,12000000,17479,87793,19-Aug-11
50 First Dates,6.8,Comedy,Peter Segal,Adam Sandler,Drew Barrymore,75000000,120776832,196320329,13-Feb-04
50/50,7.7,Comedy,Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,8000000,35016118,41334735,30-Sep-11
8 femmes,7.1,Comedy,Francois Ozon,Fanny Ardant,Emmanuelle Beart,8000000,3076425,42376425,20-Sep-02
8 Mile,7.1,Drama,Curtis Hanson,Eminem,Brittany Murphy,41000000,116724075,245768384,8-Nov-02
88 Minutes,5.9,Crime,Jon Avnet,Al Pacino,Alicia Witt,30000000,16930884,32955399,18-Apr-08
A Bad Moms Christmas,5.5,Comedy,Scott Moore,Jon Lucas,Kristen Bell,28000000,72110659,127710550,1-Nov-17
A Beautiful Mind,8.2,Biography,Ron Howard,Russell Crowe,Ed Harris,78000000,170708996,317668058,21-Dec-01
A Better Life,7.2,Drama,Chris Weitz,Demian Bichir,Jose Julian,10000000,1759252,1884251,24-Jun-11
A Cinderella Story,5.9,Comedy,Mark Rosman,Hilary Duff,Chad Michael Murray,19000000,51438175,70164105,16-Jul-04
A Dangerous Method,6.4,Biography,David Cronenberg,Michael Fassbender,Keira Knightley,20000000,5702083,14807531,23-Nov-11
A Few Best Men,5.7,Comedy,Stephan Elliott,Laura Brent,Xavier Samuel,15000000,0,17224539,5-May-15
A Ghost Story,6.8,Drama,David Lowery,Casey Affleck,Rooney Mara,100000,1594798,2769782,7-Jul-17
A Good Day to Die Hard,5.3,Action,John Moore,Bruce Willis,Jai Courtney,92000000,67349198,304249198,14-Feb-13
A Good Year,7,Comedy,Ridley Scott,Russell Crowe,Abbie Cornish,35000000,7459300,42064105,10-Nov-06
A Guy Thing,5.6,Comedy,Chris Koch,Jason Lee,Julia Stiles,20000000,15543862,17430594,17-Jan-03
A Haunted House,5,Comedy,Michael Tiddes,Marlon Wayans,Essence Atkins,2500000,40041683,59922558,11-Jan-13
A Haunted House 2,4.7,Comedy,Michael Tiddes,Marlon Wayans,Jaime Pressly,4000000,17329487,21206861,18-Apr-14
A History of Violence,7.4,Crime,David Cronenberg,Viggo Mortensen,Maria Bello,32000000,31493782,61477797,23-Sep-05
A Hologram for the King,6.1,Comedy,Tom Tykwer,Tom Hanks,Omar Elba,35000000,4212494,11846010,22-Apr-16
A Little Bit of Heaven,6.3,Comedy,Nicole Kassell,Kate Hudson,Gael Garcia Bernal,12500000,10011,1100287,4-May-12
A Lonely Place to Die,6.2,Adventure,Julian Gilbey,Alec Newman,Ed Speleers,4000000,0,442550,20-Mar-12
A Lot Like Love,6.6,Comedy,Nigel Cole,Ashton Kutcher,Amanda Peet,25000000,21835784,41921590,22-Apr-05
A Man Apart,6.1,Action,F. Gary Gray,Vin Diesel,Timothy Olyphant,36000000,26500000,43797731,4-Apr-03
A Mighty Heart,6.6,Biography,Michael Winterbottom,Angelina Jolie,Dan Futterman,15000000,9176787,19153568,22-Jun-07
A Mighty Wind,7.2,Comedy,Christopher Guest,Christopher Guest,Eugene Levy,6000000,17583468,18504539,16-Apr-03
A Million Ways to Die in the West,6.1,Comedy,Seth MacFarlane,Seth MacFarlane,Charlize Theron,40000000,42720965,86778557,30-May-14
A Monster Calls,7.5,Animation,J.A. Bayona,Lewis MacDougall,Sigourney Weaver,43000000,3740823,46414530,6-Jan-17
A Most Violent Year,7,Crime,J.C. Chandor,Oscar Isaac,Jessica Chastain,20000000,5749134,8846875,31-Dec-14
A Most Wanted Man,6.8,Crime,Anton Corbijn,Philip Seymour Hoffman,Rachel McAdams,15000000,17237855,36068890,25-Jul-14
A Nightmare on Elm Street,5.2,Crime,Samuel Bayer,Jackie Earle Haley,Rooney Mara,35000000,63075011,117729621,30-Apr-10
A Perfect Getaway,6.5,Mystery,David Twohy,Milla Jovovich,Steve Zahn,14000000,15515460,22815460,7-Aug-09
A Prairie Home Companion,6.8,Comedy,Robert Altman,Lily Tomlin,Meryl Streep,10000000,20342852,26716191,9-Jun-06
A Quiet Place,7.6,Drama,John Krasinski,Emily Blunt,John Krasinski,17000000,188024361,336157526,6-Apr-18
A Scanner Darkly,7.1,Animation,Richard Linklater,Keanu Reeves,Winona Ryder,20000000,5501616,7405084,7-Jul-06
A Serious Man,7,Comedy,Joel Coen,Ethan Coen,Richard Kind,7000000,9228788,30360570,2-Oct-09
A Simple Favor,6.8,Comedy,Paul Feig,Anna Kendrick,Blake Lively,20000000,53548586,97628717,14-Sep-18
A Single Man,7.6,Drama,Tom Ford,Colin Firth,Julianne Moore,7000000,9176000,28142379,11-Dec-09
A Sound of Thunder,4.2,Action,Peter Hyams,Edward Burns,Ben Kingsley,80000000,1900451,6300451,2-Sep-05
A Star Is Born,7.7,Drama,Bradley Cooper,Lady Gaga,Bradley Cooper,36000000,215288866,433410882,5-Oct-18
A Street Cat Named Bob,7.4,Biography,Roger Spottiswoode,Luke Treadaway,Bob the Cat,8000000,82703,17382693,18-Nov-16
A Thousand Words,5.9,Comedy,Brian Robbins,Eddie Murphy,Cliff Curtis,40000000,18450127,20790486,9-Mar-12
A Very Harold & Kumar 3D Christmas,6.3,Adventure,Todd Strauss-Schulson,Kal Penn,John Cho,20000000,35061031,36265745,4-Nov-11
A Walk Among the Tombstones,6.5,Action,Scott Frank,Liam Neeson,Dan Stevens,28000000,26017685,62108587,19-Sep-14
A Walk in the Woods,6.3,Adventure,Ken Kwapis,Robert Redford,Nick Nolte,8000000,29499394,37119358,2-Sep-15
A Walk to Remember,7.4,Drama,Adam Shankman,Mandy Moore,Shane West,11000000,41227069,46060861,25-Jan-02
A Wrinkle in Time,4.2,Adventure,Ava DuVernay,Storm Reid,Oprah Winfrey,103000000,100478608,133401882,9-Mar-18
Abandon,4.9,Drama,Stephen Gaghan,Katie Holmes,Benjamin Bratt,25000000,10719367,12219367,18-Oct-02
Abduction,5.1,Action,John Singleton,Taylor Lautner,Lily Collins,35000000,28087155,86648359,23-Sep-11
About a Boy,7.1,Comedy,Paul Weitz,Chris Weitz,Nicholas Hoult,27000000,40803000,130759651,17-May-02
About Last Night,6.1,Comedy,Steve Pink,Kevin Hart,Michael Ealy,13000000,48637684,50445860,14-Feb-14
About Schmidt,7.1,Comedy,Alexander Payne,Jack Nicholson,Hope Davis,30000000,65005217,107054484,13-Dec-02
About Time,7.8,Comedy,Richard Curtis,Domhnall Gleeson,Rachel McAdams,12000000,15323921,89309178,1-Nov-13
Abraham Lincoln: Vampire Hunter,5.9,Action,Timur Bekmambetov,Benjamin Walker,Rufus Sewell,67500000,37519139,137489730,22-Jun-12
Absentia,5.8,Drama,Mike Flanagan,Catherine Parker,Courtney Bell,70000,0,8555,31-Dec-11
Accidental Love,4.1,Comedy,David O. Russell,Jessica Biel,Raymond L. Brown Jr.,26000000,0,135436,17-Mar-15
Acrimony,5.7,Drama,Tyler Perry,Taraji P. Henson,Lyriq Bent,20000000,43549096,46627836,30-Mar-18
Across the Universe,7.4,Drama,Julie Taymor,Evan Rachel Wood,Jim Sturgess,45000000,24343673,29367143,14-Sep-07
Act of Valor,6.5,Action,Scott Waugh,Mike McCoy,Roselyn Sanchez,12000000,70012847,82497035,24-Feb-12
Action Point,5.1,Comedy,Tim Kirkby,Johnny Knoxville,Eleanor Worthington-Cox,19000000,5059608,5103675,1-Jun-18
Adam,7.2,Comedy,Max Mayer,Hugh Dancy,Rose Byrne,3200000,2283291,2834485,29-Jul-09
Addicted,5.2,Drama,Bille Woodruff,Sharon Leal,Boris Kodjoe,5000000,17390770,17499242,10-Oct-14
Admission,5.7,Comedy,Paul Weitz,Tina Fey,Paul Rudd,13000000,18007317,18733666,22-Mar-13
Adoration,6.2,Drama,Anne Fontaine,Naomi Watts,Robin Wright,4000000,294244,384244,8-May-09
Adrift,6.6,Action,Baltasar Kormakur,Shailene Woodley,Sam Claflin,35000000,31445011,57897191,1-Jun-18
Adventureland,6.8,Comedy,Greg Mottola,Jesse Eisenberg,Kristen Stewart,9800000,16044025,17553055,3-Apr-09
After,5.4,Drama,Jenny Gage,Josephine Langford,Hero Fiennes Tiffin,650000,0,0,31-Dec-12
After Earth,4.8,Action,M. Night Shyamalan,Jaden Smith,David Denman,130000000,60522097,251499665,31-May-13
After the Sunset,6.3,Action,Brett Ratner,Pierce Brosnan,Salma Hayek,57000000,28328132,38329114,12-Nov-04
After.Life,5.9,Drama,Agnieszka Wojtowicz-Vosloo,Christina Ricci,Liam Neeson,4500000,108596,2481925,9-Apr-10
Against the Ropes,5.3,Biography,Charles S. Dutton,Meg Ryan,Omar Epps,39000000,5881504,6429865,20-Feb-04
Agent Cody Banks,5.1,Action,Harald Zwart,Frankie Muniz,Hilary Duff,25000000,47545060,58240458,14-Mar-03
Agent Cody Banks 2: Destination London,4.5,Action,Kevin Allen,Frankie Muniz,Anthony Anderson,26000000,23514247,28703083,12-Mar-04
Agora,7.2,Adventure,Alejandro Amenabar,Rachel Weisz,Max Minghella,70000000,619423,38992292,28-May-10
Ain't Them Bodies Saints,6.4,Crime,David Lowery,Rooney Mara,Casey Affleck,5000000,391611,1075009,16-Aug-13
Akeelah and the Bee,7.4,Drama,Doug Atchison,Angela Bassett,Laurence Fishburne,8000000,18848430,18959424,28-Apr-06
Aladdin,7.3,Adventure,Guy Ritchie,Will Smith,Mena Massoud,182000000,350477077,1025627077,24-May-19
Alatriste,6.1,Adventure,Agustin Diaz Yanes,Viggo Mortensen,Elena Anaya,28000000,0,22860477,31-Dec-07
Albert Nobbs,6.7,Drama,Rodrigo Garcia,Glenn Close,Mia Wasikowska,7500000,3014696,8539003,21-Dec-11
Alex & Emma,5.6,Comedy,Rob Reiner,Luke Wilson,Kate Hudson,30000000,14208384,15358583,20-Jun-03
Alex Cross,5.1,Action,Rob Cohen,Tyler Perry,Matthew Fox,35000000,25888412,35426759,19-Oct-12
Alexander,5.6,Action,Oliver Stone,Colin Farrell,Anthony Hopkins,155000000,34297191,167297191,24-Nov-04
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,Comedy,Miguel Arteta,Steve Carell,Jennifer Garner,28000000,66954149,101379287,10-Oct-14
Alfie,6.2,Comedy,Charles Shyer,Jude Law,Sienna Miller,40000000,13395939,35195939,5-Nov-04
Ali,6.8,Biography,Michael Mann,Will Smith,Jamie Foxx,109000000,58183966,87683966,25-Dec-01
Alice in Wonderland,6.4,Adventure,Tim Burton,Mia Wasikowska,Johnny Depp,200000000,334191110,1025491110,5-Mar-10
Alice Through the Looking Glass,6.2,Adventure,James Bobin,Mia Wasikowska,Johnny Depp,170000000,77042381,276928112,27-May-16
Alien: Covenant,6.4,Horror,Ridley Scott,Michael Fassbender,Katherine Waterston,97000000,74262031,238521247,19-May-17
Aliens in the Attic,5.4,Animation,John Schultz,Ashley Tisdale,Robert Hoffman,45000000,25200412,59551283,31-Jul-09
Alita: Battle Angel,7.4,Action,Robert Rodriguez,Rosa Salazar,Christoph Waltz,170000000,85710210,402971268,14-Feb-19
All About Steve,4.8,Comedy,Phil Traill,Sandra Bullock,Bradley Cooper,15000000,33862903,40127259,4-Sep-09
All About the Benjamins,5.8,Action,Kevin Bray,Ice Cube,Mike Epps,14000000,25482931,25873145,8-Mar-02
All Eyez on Me,5.8,Biography,Benny Boom,Demetrius Shipp Jr.,Danai Gurira,45000000,44922302,54876855,16-Jun-17
All Good Things,6.3,Crime,Andrew Jarecki,Ryan Gosling,Kirsten Dunst,20000000,582024,873617,3-Dec-10
All Is Lost,6.9,Action,none,none,none,8500000,6263670,10386814,18-Oct-13
All or Nothing,7.5,Drama,Mike Leigh,Timothy Spall,Lesley Manville,9000000,184255,184255,25-Oct-02
All the Boys Love Mandy Lane,5.5,Horror,Jonathan Levine,Amber Heard,Anson Mount,750000,0,1960521,11-Oct-13
All the King's Men,6.2,Drama,Steven Zaillian,Sean Penn,Jude Law,55000000,7221458,9521458,22-Sep-06
All the Pretty Horses,5.8,Drama,Billy Bob Thornton,Matt Damon,Penelope Cruz,45000000,15527125,18120267,22-Dec-00
All the Real Girls,6.8,Drama,David Gordon Green,Zooey Deschanel,Paul Schneider,1000000,549666,703020,14-Feb-03
Allied,7.1,Action,Robert Zemeckis,Brad Pitt,Marion Cotillard,106000000,40098064,119266661,23-Nov-16
Almost Christmas,6.1,Comedy,David E. Talbert,Kimberly Elise,Omar Epps,17000000,42065185,42493506,11-Nov-16
Almost Famous,7.9,Adventure,Cameron Crowe,Billy Crudup,Patrick Fugit,60000000,32522352,47371191,15-Sep-00
Aloha,5.4,Comedy,Cameron Crowe,Bradley Cooper,Rachel McAdams,37000000,21052030,25387091,29-May-15
Alone in the Dark,2.3,Action,Uwe Boll,Christian Slater,Tara Reid,20000000,5178569,10588079,28-Jan-05
Along Came a Spider,6.4,Drama,Lee Tamahori,Morgan Freeman,Michael Wincott,28000000,74058698,105159085,6-Apr-01
Along Came Polly,5.9,Comedy,John Hamburg,Ben Stiller,Jennifer Aniston,42000000,88073507,173044410,16-Jan-04
Alpha,6.7,Adventure,Albert Hughes,Kodi Smit-McPhee,Jahannes Haukur Jahannesson,51000000,35851379,99624873,17-Aug-18
Alvin and the Chipmunks,5.2,Animation,Tim Hill,Jason Lee,Ross Bagdasarian Jr.,55000000,217326974,362605033,14-Dec-07
Alvin and the Chipmunks: Chipwrecked,4.3,Animation,Mike Mitchell,Justin Long,Matthew Gray Gubler,80000000,133107389,349088523,16-Dec-11
Alvin and the Chipmunks: The Road Chip,5,Animation,Walt Becker,Jason Lee,Justin Long,90000000,85886987,249517956,18-Dec-15
Alvin and the Chipmunks: The Squeakquel,4.5,Animation,Betty Thomas,Jason Lee,Zachary Levi,70000000,219614612,443483213,23-Dec-09
Amelia,5.8,Adventure,Mira Nair,Hilary Swank,Richard Gere,40000000,14279575,19756077,23-Oct-09
America's Sweethearts,5.7,Comedy,Joe Roth,Julia Roberts,John Cusack,46000000,93607673,160648493,20-Jul-01
American Assassin,6.2,Action,Michael Cuesta,Dylan O'Brien,Michael Keaton,63000000,36249674,68310140,15-Sep-17
American Dreamz,5.4,Comedy,Paul Weitz,Hugh Grant,Dennis Quaid,17000000,7314027,16510971,21-Apr-06
American Gangster,7.8,Biography,Ridley Scott,Denzel Washington,Russell Crowe,100000000,130164645,267985456,2-Nov-07
American Heist,5.1,Action,Sarik Andreasyan,Hayden Christensen,Adrien Brody,10000000,0,2341218,21-Jul-15
American Honey,7,Adventure,Andrea Arnold,Sasha Lane,Shia LaBeouf,3500000,663247,2611750,30-Sep-16
American Hustle,7.2,Crime,David O. Russell,Christian Bale,Amy Adams,40000000,150117807,257878294,13-Dec-13
American Made,7.2,Action,Doug Liman,Tom Cruise,Domhnall Gleeson,50000000,51342000,135569212,29-Sep-17
American Outlaws,6,Action,Les Mayfield,Colin Farrell,Scott Caan,35000000,13264986,13601109,17-Aug-01
American Pie 2,6.4,Comedy,J.B. Rogers,Jason Biggs,Seann William Scott,30000000,145096820,286500000,10-Aug-01
American Psycho,7.6,Crime,Mary Harron,Christian Bale,Justin Theroux,8000000,15070285,34270285,14-Apr-00
American Reunion,6.7,Comedy,Hayden Schlossberg,Jon Hurwitz,Alyson Hannigan,50000000,56758835,236799211,6-Apr-12
American Sniper,7.3,Action,Clint Eastwood,Bradley Cooper,Sienna Miller,58000000,350126372,547326372,25-Dec-14
American Splendor,7.5,Biography,Robert Pulcini,Shari Springer Berman,Shari Springer Berman,2000000,6003587,8685632,15-Aug-03
American Ultra,6.1,Action,Nima Nourizadeh,Jesse Eisenberg,Kristen Stewart,28000000,14439985,30295028,21-Aug-15
American Wedding,6.3,Comedy,Jesse Dylan,Jason Biggs,Alyson Hannigan,55000000,104354205,126425115,1-Aug-03
Amores perros,8.1,Drama,Alejandro G. Inarritu,Emilio Echevarria,Gael Garcia Bernal,2000000,5383834,20883834,30-Mar-01
Amour,7.9,Drama,Michael Haneke,Jean-Louis Trintignant,Emmanuelle Riva,9700000,6738954,36787044,19-Dec-12
An American Carol,4.2,Comedy,David Zucker,Kevin P. Farley,Kelsey Grammer,20000000,7013191,7022183,3-Oct-08
An American Haunting,5,Drama,Courtney Solomon,Donald Sutherland,Sissy Spacek,14000000,16298046,30443277,5-May-06
An Education,7.3,Drama,Lone Scherfig,Carey Mulligan,Peter Sarsgaard,7500000,12574914,29652736,9-Oct-09
An Unfinished Life,7,Drama,Lasse Hallstrom,Jennifer Lopez,Robert Redford,30000000,8535575,18535575,9-Sep-05
Anacondas: The Hunt for the Blood Orchid,4.6,Action,Dwight H. Little,Morris Chestnut,KaDee Strickland,25000000,31526393,70326393,27-Aug-04
Analyze That,5.9,Comedy,Harold Ramis,Robert De Niro,Billy Crystal,60000000,32122249,54994757,6-Dec-02
Anchorman 2: The Legend Continues,6.3,Comedy,Adam McKay,Will Ferrell,Christina Applegate,50000000,127352707,172185754,18-Dec-13
Anchorman: The Legend of Ron Burgundy,7.2,Comedy,Adam McKay,Will Ferrell,Christina Applegate,25000000,84136909,89476265,9-Jul-04
And So It Goes,5.8,Comedy,Rob Reiner,Michael Douglas,Diane Keaton,18000000,15160801,17920013,25-Jul-14
Angel Eyes,5.6,Drama,Luis Mandoki,Jennifer Lopez,Jim Caviezel,38000000,24044532,29544532,18-May-01
Angels & Demons,6.7,Mystery,Ron Howard,Tom Hanks,Ewan McGregor,150000000,133375846,490875846,15-May-09
Anger Management,6.2,Comedy,Peter Segal,Jack Nicholson,Adam Sandler,56000000,135560942,195660942,11-Apr-03
Animal Kingdom,7.3,Crime,David Mich��d,James Frecheville,Guy Pearce,4200000,1044039,8078683,13-Aug-10
Anna,6.6,Action,Luc Besson,Sasha Luss,Helen Mirren,30000000,7733123,23889793,21-Jun-19
Anna,6.5,Drama,Jorge Dorado,Mark Strong,Taissa Farmiga,30000000,7733123,23889793,21-Jun-19
Anna Karenina,6.6,Drama,Joe Wright,Keira Knightley,Jude Law,49000000,12816367,71004627,16-Nov-12
Annabelle,5.4,Horror,John R. Leonetti,Ward Horton,Annabelle Wallis,6500000,84273813,256862920,3-Oct-14
Annabelle: Creation,6.5,Horror,David F. Sandberg,Anthony LaPaglia,Samara Lee,15000000,102092201,305384865,11-Aug-17
Annie,5.3,Comedy,Will Gluck,Quvenzhane Wallis,Cameron Diaz,65000000,85911262,139829625,19-Dec-14
Annihilation,6.9,Adventure,Alex Garland,Natalie Portman,Jennifer Jason Leigh,55000000,32732301,43070915,23-Feb-18
Anomalisa,7.3,Animation,Charlie Kaufman,Duke Johnson,Jennifer Jason Leigh,8000000,3759286,5706168,30-Dec-15
Anonymous,6.9,Drama,Roland Emmerich,Rhys Ifans,Vanessa Redgrave,27500000,4463292,15815509,28-Oct-11
Another Earth,7,Drama,Mike Cahill,Brit Marling,William Mapother,175000,1321194,2102779,22-Jul-11
Another Year,7.3,Comedy,Mike Leigh,Jim Broadbent,Ruth Sheen,8000000,3205706,20005613,29-Dec-10
Ant-Man,7.3,Action,Peyton Reed,Paul Rudd,Michael Douglas,130000000,180202163,518858449,17-Jul-15
Ant-Man and the Wasp,7.1,Action,Peyton Reed,Paul Rudd,Evangeline Lilly,130000000,216648740,623144660,6-Jul-18
Antitrust,6.1,Action,Peter Howitt,Ryan Phillippe,Tim Robbins,30000000,10965209,17865209,12-Jan-01
Antiviral,5.7,Horror,Brandon Cronenberg,Caleb Landry Jones,Lisa Berry,3100000,0,123407,12-Apr-13
Anything Else,6.4,Comedy,Woody Allen,Woody Allen,Jason Biggs,18000000,3203044,13203044,19-Sep-03
Apocalypto,7.8,Action,Mel Gibson,Gerardo Taracena,Raoul Max Trujillo,40000000,50866635,121032272,8-Dec-06
Apollo 18,5.2,Horror,Gonzalo Lapez-Gallego,Warren Christie,Lloyd Owen,5000000,17686929,26517819,2-Sep-11
Appaloosa,6.7,Action,Ed Harris,Ed Harris,Viggo Mortensen,20000000,20211394,27911453,19-Sep-08
Aqua Teen Hunger Force Colon Movie Film for Theaters,6.8,Animation,Dave Willis,Matt Maiellaro,Dave Willis,750000,5520368,5520368,13-Apr-07
Aquaman,7.1,Action,James Wan,Jason Momoa,Amber Heard,160000000,335061807,1146894640,21-Dec-18
Aquamarine,5.3,Comedy,Elizabeth Allen Rosenbaum,Emma Roberts,JoJo,12000000,18597342,22978953,3-Mar-06
Arbitrage,6.6,Drama,Nicholas Jarecki,Richard Gere,Susan Sarandon,12000000,7919574,35830713,14-Sep-12
Are We There Yet?,4.7,Adventure,Brian Levant,Ice Cube,Nia Long,20000000,82674398,98114471,21-Jan-05
Area 51,4.2,Horror,Oren Peli,Reid Warner,Darrin Bragg,5000000,7556,7556,15-May-15
Argo,7.7,Biography,Ben Affleck,Ben Affleck,Bryan Cranston,44500000,136025503,227140757,12-Oct-12
Armored,5.7,Action,Nimrad Antal,Columbus Short,Matt Dillon,20000000,15988876,23661038,4-Dec-09
Around the World in 80 Days,5.9,Action,Frank Coraci,Jackie Chan,Steve Coogan,110000000,24004159,72004159,16-Jun-04
Arrival,7.9,Drama,Denis Villeneuve,Amy Adams,Jeremy Renner,47000000,100546139,203127894,11-Nov-16
Arthur,5.7,Comedy,Jason Winer,Russell Brand,Helen Mirren,40000000,33035397,47787943,8-Apr-11
Arthur Christmas,7.1,Animation,Barry Cook,Sarah Smith,Jim Broadbent,85000000,46462469,149717124,23-Nov-11
Arthur et les Minimoys,6,Animation,Luc Besson,Freddie Highmore,Mia Farrow,80000000,15132763,113325743,12-Jan-07
Artificial Intelligence: AI,7.1,Adventure,Steven Spielberg,Haley Joel Osment,Jude Law,90000000,78616689,235900000,29-Jun-01
"As Above, So Below",6.2,Horror,John Erick Dowdle,Perdita Weeks,Ben Feldman,5000000,21222315,41824066,29-Aug-14
Ask Me Anything,6,Drama,Allison Burnett,Britt Robertson,Molly Hagan,950000,0,0,3-Mar-15
Assault on Precinct 13,6.3,Action,Jean-Francois Richet,Ethan Hawke,Laurence Fishburne,30000000,20040895,36040895,19-Jan-05
Astro Boy,6.3,Animation,David Bowers,Freddie Highmore,Nicolas Cage,65000000,19551067,41636243,23-Oct-09
ATL,6.1,Comedy,Chris Robinson,T.I.,Lauren London,17000000,21170563,21170563,31-Mar-06
Atlantis: The Lost Empire,6.9,Animation,Kirk Wise,Gary Trousdale,Jim Varney,90000000,84052762,186049020,8-Jun-01
Atomic Blonde,6.7,Action,David Leitch,Charlize Theron,James McAvoy,30000000,51573925,98345423,28-Jul-17
Atonement,7.8,Drama,Joe Wright,Keira Knightley,James McAvoy,30000000,50980159,129779728,7-Dec-07
Attack the Block,6.6,Action,Joe Cornish,John Boyega,Jodie Whittaker,13000000,1024175,6459183,29-Jul-11
August Rush,7.5,Drama,Kirsten Sheridan,Freddie Highmore,Keri Russell,25000000,31664162,65882103,21-Nov-07
August: Osage County,7.2,Comedy,John Wells,Meryl Streep,Dermot Mulroney,25000000,37738810,50738810,25-Dec-13
Austin Powers in Goldmember,6.2,Action,Jay Roach,Mike Myers,Beyonce,63000000,213117789,296338663,25-Jul-02
