Movie,Rating,Genre,Director,Actor1,Actor2,Budget,Revenue_US,Revenue_World,Date
Star Wars: The Clone Wars,5.9,Animation,Dave Filoni,Matt Lanter,Nika Futterman,8500000,35161554,68695443,15-Aug-08
Stardust,7.6,Adventure,Matthew Vaughn,Charlie Cox,Claire Danes,70000000,38634938,137022245,10-Aug-07
Starsky & Hutch,6.1,Comedy,Todd Phillips,Ben Stiller,Owen Wilson,60000000,88200225,170200225,5-Mar-04
State of Play,7.1,Crime,Kevin Macdonald,Russell Crowe,Rachel McAdams,60000000,37017955,88832210,17-Apr-09
Stay Alive,5.1,Fantasy,William Brent Bell,Jon Foster,Samaire Armstrong,20000000,23086480,23187506,24-Mar-06
Stealing Harvard,5.1,Comedy,Bruce McCulloch,Jason Lee,Tom Green,25000000,13973532,13973532,13-Sep-02
Stealth,5,Action,Rob Cohen,Josh Lucas,Jessica Biel,138000000,32116746,76416746,29-Jul-05
Step Brothers,6.9,Comedy,Adam McKay,Will Ferrell,John C. Reilly,65000000,100468793,128468793,25-Jul-08
Step Up,6.5,Crime,Anne Fletcher,Channing Tatum,Jenna Dewan,12000000,65328121,110989157,11-Aug-06
Step Up 3D,6.2,Drama,Jon M. Chu,Sharni Vinson,Rick Malambri,30000000,42400223,165889117,6-Aug-10
Step Up Revolution,6.5,Drama,Scott Speer,Kathryn McCormick,Ryan Guzman,33000000,35074677,165552290,27-Jul-12
Steve Jobs,7.2,Biography,Danny Boyle,Michael Fassbender,Kate Winslet,30000000,17766658,35579007,9-Oct-15
Stick It,6.4,Comedy,Jessica Bendinger,Missy Peregrym,Jeff Bridges,20000000,26910736,30399714,28-Apr-06
Still Alice,7.5,Drama,Wash Westmoreland,Richard Glatzer,Alec Baldwin,5000000,18656400,41699612,16-Jan-15
Stitches,5.7,Comedy,Conor McMahon,Ross Noble,Tommy Knight,2000000,0,63555,1-Apr-13
Stoker,6.8,Drama,Chan-wook Park,Mia Wasikowska,Nicole Kidman,12000000,1703125,12034913,1-Mar-13
Stolen,5.5,Action,Simon West,Nicolas Cage,Malin Akerman,35000000,289773,17967746,14-Sep-12
Stomp the Yard,5.4,Drama,Sylvain White,Columbus Short,Meagan Good,14000000,61356221,75525718,12-Jan-07
Stone,5.4,Drama,John Curran,Edward Norton,Milla Jovovich,22000000,1810078,4065020,8-Oct-10
Stone Cold,7.2,Crime,Robert Harmon,Tom Selleck,Jane Adams,25000000,9286314,9286314,17-May-91
Stop-Loss,6.4,Drama,Kimberly Peirce,Ryan Phillippe,Abbie Cornish,25000000,10915744,11229035,28-Mar-08
Storks,6.8,Animation,Doug Sweetland,Nicholas Stoller,Katie Crown,70000000,72679278,183353431,23-Sep-16
Straight Outta Compton,7.9,Biography,F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,28000000,161197785,202182981,14-Aug-15
Strange Wilderness,5.3,Adventure,Fred Wolf,Steve Zahn,Allen Covert,20000000,6575282,6947084,1-Feb-08
Stranger Than Fiction,7.6,Comedy,Marc Forster,Will Ferrell,Emma Thompson,30000000,40435190,53572822,10-Nov-06
Strangerland,5.2,Drama,Kim Farrant,Nicole Kidman,Joseph Fiennes,10000000,17472,161097,10-Jul-15
Strangers with Candy,6,Comedy,Paul Dinello,Amy Sedaris,Stephen Colbert,2000000,2072645,2077844,28-Jun-06
Straw Dogs,5.8,Action,Rod Lurie,James Marsden,Kate Bosworth,25000000,10324441,11253821,16-Sep-11
Street Fighter: The Legend of Chun-Li,3.7,Action,Andrzej Bartkowiak,Kristin Kreuk,Neal McDonough,50000000,8742261,12660287,27-Feb-09
Street Kings,6.8,Action,David Ayer,Keanu Reeves,Forest Whitaker,20000000,26418667,65457811,11-Apr-08
Stronger,6.9,Biography,David Gordon Green,Jake Gyllenhaal,Tatiana Maslany,30000000,4211129,8786287,22-Sep-17
Stuart Little 2,5.5,Animation,Rob Minkoff,Michael J. Fox,Geena Davis,120000000,64956806,166000000,19-Jul-02
Stuck,6.5,Biography,Stuart Gordon,Mena Suvari,Stephen Rea,5000000,67505,67505,30-May-08
Stuck on You,5.7,Comedy,Peter Farrelly,Bobby Farrelly,Greg Kinnear,55000000,33832741,63537164,12-Dec-03
Submarine,7.3,Comedy,Richard Ayoade,Craig Roberts,Sally Hawkins,1900000,467602,4581937,3-Jun-11
Sucker Punch,6,Action,Zack Snyder,Emily Browning,Vanessa Hudgens,75000000,36392502,89758389,25-Mar-11
Suffragette,6.9,Biography,Sarah Gavron,Carey Mulligan,Anne-Marie Duff,14000000,4702420,34044909,23-Oct-15
Suicide Squad,6,Action,David Ayer,Will Smith,Jared Leto,175000000,325100054,746059887,5-Aug-16
Sukkar banat,7.1,Comedy,Nadine Labaki,Nadine Labaki,Joanna Moukarzel,1600000,1060591,14253760,1-Feb-08
Sully,7.4,Biography,Clint Eastwood,Tom Hanks,Aaron Eckhart,60000000,125070033,238524556,9-Sep-16
Sultan,7.1,Action,Ali Abbas Zafar,Salman Khan,Kubbra Sait,11000000,5599781,72989781,6-Jul-16
Summer Catch,5,Comedy,Michael Tollin,Freddie Prinze Jr.,Jessica Biel,17000000,19693891,19693891,24-Aug-01
Sunshine,7.2,Adventure,Danny Boyle,Cillian Murphy,Rose Byrne,40000000,3688560,32030610,20-Jul-07
Sunshine Cleaning,6.8,Comedy,Christine Jeffs,Amy Adams,Emily Blunt,5000000,12062558,17329337,13-Mar-09
Super,6.8,Action,James Gunn,Rainn Wilson,Ellen Page,2500000,327716,593933,1-Apr-11
Super 8,7,Mystery,J.J. Abrams,Elle Fanning,AJ Michalka,50000000,127004179,257972745,10-Jun-11
Superbabies: Baby Geniuses 2,1.9,Comedy,Bob Clark,Jon Voight,Scott Baio,20000000,9109322,9355369,27-Aug-04
Superbad,7.6,Comedy,Greg Mottola,Michael Cera,Jonah Hill,17500000,121463226,169955142,17-Aug-07
Superfly,5.1,Action,Director X.,Trevor Jackson,Jason Mitchell,16000000,20537137,20723581,13-Jun-18
Superhero Movie,4.5,Action,Craig Mazin,Drake Bell,Leslie Nielsen,35000000,26638520,73026302,28-Mar-08
Superman Returns,6,Action,Bryan Singer,Brandon Routh,Kevin Spacey,232000000,200120000,374085065,28-Jun-06
Supernova,4.8,Horror,Walter Hill,James Spader,Peter Facinelli,60000000,14218868,14816494,14-Jan-00
Surf's Up,6.7,Animation,Chris Buck,Ash Brannon,Zooey Deschanel,100000000,58867694,145395745,8-Jun-07
"Surfer, Dude",4.7,Comedy,S.R. Bindler,Matthew McConaughey,Woody Harrelson,6000000,36497,36497,5-Sep-08
Surrogates,6.3,Action,Jonathan Mostow,Bruce Willis,Radha Mitchell,80000000,38577772,119668350,25-Sep-09
Surveillance,6.3,Crime,Jennifer Lynch,Julia Ormond,Bill Pullman,3500000,27349,1396395,26-Jun-09
